feature,importance
lesion_percentage,0.44442035257760776
asymmetry_score,0.18381912546013227
total_pixels,0.10244804087879791
compactness,0.09582430190775529
area,0.09336814937887859
perimeter,0.05932640085183699
border_pixels,0.020793628944991226
