feature,coefficient,abs_coefficient
rgb_var_g,1.3649059069683855,1.3649059069683855
rgb_var_b,-0.9420860214320689,0.9420860214320689
border_pixels,0.8183592646837149,0.8183592646837149
hsv_var_v,-0.45129850411262895,0.45129850411262895
total_pixels,-0.3445694881644273,0.3445694881644273
hsv_var_s,0.3240432342566606,0.3240432342566606
area,-0.280604033982603,0.280604033982603
rgb_var_r,-0.2781320860239822,0.2781320860239822
hsv_var_h,0.27082240300279603,0.27082240300279603
asymmetry_score,-0.2663199693498387,0.2663199693498387
lesion_percentage,0.24179841343463407,0.24179841343463407
perimeter,-0.22093343804664656,0.22093343804664656
compactness,-0.05682437750368912,0.05682437750368912
