feature,coefficient,abs_coefficient
border_pixels,1.3152534890950036,1.3152534890950036
perimeter,-0.6771327956820575,0.6771327956820575
area,-0.36147589295073906,0.36147589295073906
lesion_percentage,0.3497148910994581,0.3497148910994581
total_pixels,-0.31493007306247334,0.31493007306247334
asymmetry_score,-0.26779908746154396,0.26779908746154396
compactness,-0.06366039597675706,0.06366039597675706
