feature_set,C,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
border_asymmetry,0.001,0.6640254982929524,0.02988534310528975,0.6148809523809524,0.02783016601800227
border_asymmetry,0.01,0.6634445475269322,0.027978474304950145,0.6220238095238095,0.02587745847533831
border_asymmetry,0.1,0.6640540383026565,0.025808443697423408,0.631547619047619,0.023007319154866295
border_asymmetry,1.0,0.6659815233980777,0.024112782754128908,0.6327380952380952,0.022160131510697963
border_asymmetry,10.0,0.6659673528200211,0.02371792801949057,0.6321428571428571,0.023099533228490777
border_asymmetry,100.0,0.6660311305899251,0.023710708244151245,0.6327380952380952,0.02309953322849078
border_asymmetry_color_no_ita_fst,0.001,0.686361491383453,0.024575212985045003,0.6357142857142857,0.019525261270067547
border_asymmetry_color_no_ita_fst,0.01,0.6918109256570384,0.024569999335380805,0.631547619047619,0.028571428571428557
border_asymmetry_color_no_ita_fst,0.1,0.7001515379858967,0.023756570215461355,0.6410714285714285,0.03119183930136643
border_asymmetry_color_no_ita_fst,1.0,0.7039923222829388,0.02295386839735335,0.6392857142857143,0.02844715034606789
border_asymmetry_color_no_ita_fst,10.0,0.7039072875161001,0.022520304399491518,0.6398809523809523,0.02842222949122218
border_asymmetry_color_no_ita_fst,100.0,0.7038222514938726,0.022466072389920825,0.6410714285714285,0.026325409985114255
all_features,0.001,0.6846963125031988,0.020041033924420023,0.6261904761904761,0.01074730362218321
all_features,0.01,0.692328277671602,0.021583284973006586,0.6375,0.022223993693564852
all_features,0.1,0.700427930165913,0.02143359761089325,0.644047619047619,0.025850060417391026
all_features,1.0,0.7026530651915186,0.020182896945657235,0.6464285714285715,0.021902820824969173
all_features,10.0,0.7021782959661323,0.019760206088394006,0.6458333333333333,0.02388381267587962
all_features,100.0,0.7020436552628351,0.01963230676338713,0.6458333333333333,0.023206653201926112
