C,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
0.001,0.6846963125031988,0.020041033924420023,0.6261904761904761,0.01074730362218321
0.01,0.692328277671602,0.021583284973006586,0.6375,0.022223993693564852
0.1,0.700427930165913,0.02143359761089325,0.644047619047619,0.025850060417391026
1.0,0.7026530651915186,0.020182896945657235,0.6464285714285715,0.021902820824969173
10.0,0.7021782959661323,0.019760206088394006,0.6458333333333333,0.02388381267587962
100.0,0.7020436552628351,0.01963230676338713,0.6458333333333333,0.023206653201926112
